ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
AY586540|HIV-1|subtype:18_cpx	HIV-1	18_cpx	CUBA	1999	Central_and_South_America	HIV-1_18_cpx	Central_and_South_America_1999
AY586541|HIV-1|subtype:18_cpx	HIV-1	18_cpx	CUBA	1999	Central_and_South_America	HIV-1_18_cpx	Central_and_South_America_1999
AY586542|HIV-1|subtype:B	HIV-1	B	CUBA	1999	Central_and_South_America	HIV-1_B	Central_and_South_America_1999
AY586543|HIV-1|subtype:B	HIV-1	B	CUBA	1999	Central_and_South_America	HIV-1_B	Central_and_South_America_1999
AY586544|HIV-1|subtype:20_BG	HIV-1	20_BG	SPAIN	1999	Europe	HIV-1_20_BG	Europe_1999
AY586545|HIV-1|subtype:20_BG	HIV-1	20_BG	CUBA	1999	Central_and_South_America	HIV-1_20_BG	Central_and_South_America_1999
AY586546|HIV-1|subtype:BG	HIV-1	BG	CUBA		Central_and_South_America	HIV-1_BG	Central_and_South_America_unknown
AY586547|HIV-1|subtype:G	HIV-1	G	CUBA	1999	Central_and_South_America	HIV-1_G	Central_and_South_America_1999
AY586548|HIV-1|subtype:G	HIV-1	G	CUBA	1999	Central_and_South_America	HIV-1_G	Central_and_South_America_1999
AY586549|HIV-1|subtype:G	HIV-1	G	CUBA	1999	Central_and_South_America	HIV-1_G	Central_and_South_America_1999
AY588970|HIV-1|subtype:19_cpx	HIV-1	19_cpx	CUBA	1999	Central_and_South_America	HIV-1_19_cpx	Central_and_South_America_1999
AY588971|HIV-1|subtype:19_cpx	HIV-1	19_cpx	CUBA	1999	Central_and_South_America	HIV-1_19_cpx	Central_and_South_America_1999
AY612637|HIV-1|subtype:G	HIV-1	G	PORTUGAL		Europe	HIV-1_G	Europe_unknown
AY618998|HIV-1|subtype:O	HIV-1	O	CAMEROON		Africa	HIV-1_O	Africa_unknown
AY623602|HIV-1|subtype:O	HIV-1	O	CAMEROON		Africa	HIV-1_O	Africa_unknown
AY682547|HIV-1|subtype:B	HIV-1	B	RUSSIAN FEDERATION	2004	Europe	HIV-1_B	Europe_2004
AY703908|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2003	Africa	HIV-1_C	Africa_2003
AY703909|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY703910|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY703911|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2004	Africa	HIV-1_C	Africa_2004
AY713406|HIV-1|subtype:A1	HIV-1	A1	RWANDA	1993	Africa	HIV-1_A1	Africa_1993
AY713407|HIV-1|subtype:A1	HIV-1	A1	UGANDA	1992	Africa	HIV-1_A1	Africa_1992
AY713408|HIV-1|subtype:B	HIV-1	B	THAILAND	1996	Asia	HIV-1_B	Asia_1996
AY713409|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1985	North_America	HIV-1_B	North_America_1985
AY713410|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1994	North_America	HIV-1_B	North_America_1994
AY713411|HIV-1|subtype:B	HIV-1	B	FRANCE	1992	Europe	HIV-1_B	Europe_1992
AY713412|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1990	North_America	HIV-1_B	North_America_1990
AY713413|HIV-1|subtype:C	HIV-1	C	MALAWI	1993	Africa	HIV-1_C	Africa_1993
AY713414|HIV-1|subtype:C	HIV-1	C	INDIA	1994	Asia	HIV-1_C	Asia_1994
AY713415|HIV-1|subtype:C	HIV-1	C	SOMALIA	1989	Africa	HIV-1_C	Africa_1989
AY713416|HIV-1|subtype:C	HIV-1	C	SENEGAL	1990	Africa	HIV-1_C	Africa_1990
AY713417|HIV-1|subtype:C	HIV-1	C	ETHIOPIA	2002	Africa	HIV-1_C	Africa_2002
AY713418|HIV-1|subtype:D	HIV-1	D	UGANDA	1993	Africa	HIV-1_D	Africa_1993
AY713419|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1997	Asia	HIV-1_01_AE	Asia_1997
AY713420|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1997	Asia	HIV-1_01_AE	Asia_1997
AY713421|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1996	Asia	HIV-1_01_AE	Asia_1996
AY713422|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1998	Asia	HIV-1_01_AE	Asia_1998
